Release Date,Model,Family,Discontinued
"August 28, 1995",PowerBook 190,PowerBook 100,"September 1, 1996"
"January 11, 1996",Power Macintosh 7215,Power Macintosh,Unknown
"February 15, 1996",Apple Network Server 500,Network Server,"April 1, 1997"
"February 17, 1996",Power Macintosh 5400,Power Macintosh,"March 1, 1998"
"February 19, 1996",Color StyleWriter 1500,StyleWriter,Unknown
"February 26, 1996",Workgroup Server 7250,Workgroup Server,"April 21, 1997"
"April 1, 1996",Power Macintosh 7600,Power Macintosh,"October 1, 1997"
"April 15, 1996",Power Macintosh 5260,Power Macintosh,"March 1, 1997"
"April 22, 1996",Power Macintosh 7200/120 PC Compatible,Power Macintosh,"February 1, 1997"
"May 1, 1996",LaserWriter 12/640PS,LaserWriter,Unknown
"June 27, 1996",Power Macintosh 6300,Power Macintosh,"July 1, 1997"
"October 1, 1996",Power Macintosh 6400,Power Macintosh,"May 1, 1997"
"October 16, 1996",Apple Network Server 700/200,Network Server,"April 1, 1997"
"November 15, 1996",Power Macintosh 4400,Power Macintosh,"October 11, 1997"
"November 20, 1996",PowerBook 1400,PowerBook,"May 6, 1998"
"February 17, 1997",Power Macintosh 5500,Power Macintosh,"March 31, 1998"
"March 7, 1997",eMate 300,Newton,"February 27, 1998"
"March 20, 1997",Twentieth Anniversary Macintosh,Power Macintosh,"March 14, 1998"
"April 21, 1997",Workgroup Server 7350,Workgroup Server,"March 2, 1998"
"May 8, 1997",PowerBook 2400c,PowerBook,"March 14, 1998"
"June 16, 1997",Color StyleWriter 4100,StyleWriter,Unknown
"August 5, 1997",LaserWriter 8500,LaserWriter,Unknown
"November 10, 1997",Power Macintosh G3 desktop,Power Macintosh,"January 5, 1999"
"January 31, 1998",Power Macintosh G3 AIO,Power Macintosh,"October 17, 1998"
"March 2, 1998",Macintosh Server G3,Macintosh Server,"January 1, 1999"
"March 17, 1998",Apple Studio Display,Display,"June 1, 2004"
"May 6, 1998",PowerBook G3 series,PowerBook G3,"May 10, 1999"
"August 15, 1998",iMac G3,iMac,"May 10, 1999"
"January 5, 1999",Power Macintosh G3 (Blue & White),Power Macintosh,"October 13, 1999"
"May 10, 1999","PowerBook G3 (""Lombard"")",PowerBook G3,"February 16, 2000"
"July 21, 1999",iBook G3,iBook,"September 13, 2000"
"August 31, 1999",Macintosh Server G4,Macintosh Server,"July 19, 2000"
"September 1, 1999","Cinema Display (22"")",Displays,"July 19, 2000"
"October 5, 1999",iMac (slot loading),iMac,"January 7, 2002"
"October 13, 1999",Power Mac G4 Graphite,Power Macintosh,"July 18, 2001"
"February 16, 2000","PowerBook (""Pismo"")",PowerBook G3,"January 9, 2001"
"July 19, 2000",Power Mac G4 Cube,Power Macintosh,"July 3, 2001"
"September 13, 2000",iBook (FireWire),iBook,"May 1, 2001"
"January 9, 2001",PowerBook G4 Titanium,PowerBook G4,"September 16, 2003"
"May 1, 2001",iBook (white),iBook,"October 22, 2003"
"July 18, 2001",Power Mac G4 Quicksilver,Power Macintosh,"August 13, 2002"
"September 8, 2001",Server G4 Quicksilver,Macintosh Server,"May 14, 2002"
"November 10, 2001",iPod (1st gen),iPod Classic,"July 17, 2002"
"January 7, 2002","iMac G4 15""",iMac,"August 31, 2004"
"April 29, 2002",eMac,eMac,"July 5, 2006"
"May 14, 2002",Xserve,Xserve,"February 10, 2003"
August 2002,"iMac G4 17""",iMac,"August 31, 2004"
"August 13, 2002",Power Macintosh G4 MDD,Power Macintosh,"June 9, 2004"
"August 27, 2002",Macintosh Server G4 MDD,Macintosh Server,"January 28, 2003"
"January 7, 2003","PowerBook G4 Aluminum (12"")",PowerBook G4,"May 16, 2006"
"February 10, 2003",Xserve slot loading,Xserve,"January 6, 2004"
"May 2, 2003",iPod (3rd gen),iPod Classic,"July 19, 2004"
"June 23, 2003",Power Mac G5,Power Macintosh,"June 9, 2004"
"September 16, 2003","PowerBook G4 Aluminum (15"")",PowerBook G4,"February 14, 2006"
"October 22, 2003","iBook G4 (12"" / 14"")",iBook,"May 16, 2006"
"November 18, 2003","iMac G4 20""",iMac,"August 31, 2004"
"January 6, 2004",Xserve G5,Xserve,"August 7, 2006"
"January 8, 2004",iPod+HP,iPod Classic,"July 29, 2005"
"February 20, 2004",iPod Mini(1st gen),iPod Mini,"February 23, 2005"
"June 7, 2004",AirPort Express (802.11g),AirPort Express,"March 17, 2008"
"June 9, 2004",Power Macintosh G5 FX,Power Macintosh,"October 19, 2005"
"June 28, 2004","Cinema Display (20"")",Displays,February 2009
